# x, y, theta, v_l, v_r
20.23, 250.23, 0.572, 99.90, 0.00
20.83, 249.94, -0.179, 99.90, 24.83
21.81, 249.76, -0.179, 99.90, 99.90
22.55, 250.17, 0.322, 49.85, 99.90
23.50, 250.48, 0.322, 99.90, 99.90
24.44, 250.80, 0.322, 99.90, 99.90
25.39, 251.12, 0.322, 99.90, 99.90
26.34, 251.43, 0.322, 99.90, 99.90
26.96, 252.13, 0.822, 49.85, 99.90
27.64, 252.86, 0.822, 99.90, 99.90
27.99, 253.68, 1.332, 48.88, 99.90
28.23, 254.65, 1.332, 99.90, 99.90
28.22, 255.38, 1.843, 48.88, 99.90
27.85, 255.85, 2.343, 49.85, 99.90
27.15, 256.56, 2.343, 99.90, 99.90
26.45, 257.28, 2.343, 99.90, 99.90
25.76, 257.98, 2.353, 98.92, 99.90
25.12, 258.05, 2.863, 48.88, 99.90
24.16, 258.32, 2.863, 99.90, 99.90
23.53, 259.00, 2.353, 99.90, 48.88
23.16, 259.82, 1.843, 99.90, 48.88
22.89, 260.78, 1.843, 99.90, 99.90
22.62, 261.74, 1.843, 99.90, 99.90
22.35, 262.70, 1.852, 98.92, 99.90
22.07, 263.66, 1.852, 99.90, 99.90
21.79, 264.62, 1.852, 99.90, 99.90
21.52, 265.58, 1.852, 99.90, 99.90
21.24, 266.54, 1.852, 99.90, 99.90
20.96, 267.50, 1.852, 99.90, 99.90
20.68, 268.46, 1.852, 99.90, 99.90
20.40, 269.41, 1.862, 98.92, 99.90
20.02, 269.86, 2.363, 49.85, 99.90
19.31, 270.56, 2.363, 99.90, 99.90
18.93, 271.38, 1.852, 99.90, 48.88
18.91, 272.13, 1.352, 99.90, 49.85
19.13, 273.10, 1.352, 99.90, 99.90
19.35, 274.08, 1.352, 99.90, 99.90
19.56, 275.05, 1.352, 99.90, 99.90
19.78, 276.03, 1.352, 99.90, 99.90
20.00, 277.00, 1.352, 99.90, 99.90
20.21, 277.98, 1.352, 99.90, 99.90
20.43, 278.96, 1.352, 99.90, 99.90
20.65, 279.93, 1.352, 99.90, 99.90
20.86, 280.91, 1.352, 99.90, 99.90
21.08, 281.88, 1.352, 99.90, 99.90
21.29, 282.85, 1.362, 98.92, 99.90
21.50, 283.83, 1.362, 99.90, 99.90
21.70, 284.81, 1.371, 98.92, 99.90
21.90, 285.79, 1.371, 99.90, 99.90
22.10, 286.77, 1.371, 99.90, 99.90
22.30, 287.74, 1.371, 99.90, 99.90
22.49, 288.72, 1.381, 98.92, 99.90
22.68, 289.70, 1.381, 99.90, 99.90
22.86, 290.68, 1.381, 99.90, 99.90
23.05, 291.67, 1.381, 99.90, 99.90
23.24, 292.65, 1.381, 99.90, 99.90
23.42, 293.63, 1.391, 98.92, 99.90
23.60, 294.61, 1.391, 99.90, 99.90
23.78, 295.59, 1.391, 99.90, 99.90
23.96, 296.57, 1.391, 99.90, 99.90
24.14, 297.56, 1.391, 99.90, 99.90
24.31, 298.54, 1.401, 98.92, 99.90
24.48, 299.52, 1.401, 99.90, 99.90
24.65, 300.51, 1.401, 99.90, 99.90
24.82, 301.49, 1.401, 99.90, 99.90
24.98, 302.47, 1.410, 98.92, 99.90
24.92, 303.18, 1.911, 49.85, 99.90
24.58, 304.12, 1.911, 99.90, 99.90
24.25, 305.06, 1.911, 99.90, 99.90
23.92, 306.01, 1.911, 99.90, 99.90
23.50, 306.41, 2.421, 48.88, 99.90
23.09, 307.22, 1.911, 99.90, 48.88
22.76, 308.17, 1.911, 99.90, 99.90
22.42, 309.11, 1.911, 99.90, 99.90
22.09, 310.05, 1.911, 99.90, 99.90
21.76, 310.99, 1.911, 99.90, 99.90
21.42, 311.92, 1.921, 98.92, 99.90
21.08, 312.86, 1.921, 99.90, 99.90
20.73, 313.79, 1.931, 98.92, 99.90
20.38, 314.73, 1.931, 99.90, 99.90
20.03, 315.66, 1.931, 99.90, 99.90
19.61, 316.05, 2.441, 48.88, 99.90
18.84, 316.70, 2.441, 99.90, 99.90
18.42, 317.51, 1.931, 99.90, 48.88
18.07, 318.44, 1.931, 99.90, 99.90
17.71, 319.38, 1.931, 99.90, 99.90
17.36, 320.31, 1.931, 99.90, 99.90
17.01, 321.25, 1.931, 99.90, 99.90
16.66, 322.18, 1.931, 99.90, 99.90
16.31, 323.12, 1.931, 99.90, 99.90
15.96, 324.05, 1.931, 99.90, 99.90
15.60, 324.99, 1.931, 99.90, 99.90
15.25, 325.92, 1.931, 99.90, 99.90
14.90, 326.86, 1.931, 99.90, 99.90
14.55, 327.79, 1.931, 99.90, 99.90
14.20, 328.73, 1.931, 99.90, 99.90
13.85, 329.66, 1.931, 99.90, 99.90
13.49, 330.60, 1.931, 99.90, 99.90
13.14, 331.53, 1.931, 99.90, 99.90
12.79, 332.47, 1.931, 99.90, 99.90
12.44, 333.40, 1.931, 99.90, 99.90
12.09, 334.34, 1.931, 99.90, 99.90
11.74, 335.27, 1.931, 99.90, 99.90
11.38, 336.21, 1.931, 99.90, 99.90
11.31, 336.98, 1.420, 99.90, 48.88
11.46, 337.97, 1.420, 99.90, 99.90
11.61, 338.95, 1.420, 99.90, 99.90
11.76, 339.94, 1.420, 99.90, 99.90
11.91, 340.93, 1.420, 99.90, 99.90
12.06, 341.92, 1.420, 99.90, 99.90
12.21, 342.90, 1.420, 99.90, 99.90
12.36, 343.89, 1.420, 99.90, 99.90
12.51, 344.88, 1.420, 99.90, 99.90
12.66, 345.87, 1.420, 99.90, 99.90
12.81, 346.85, 1.420, 99.90, 99.90
12.95, 347.84, 1.420, 99.90, 99.90
13.10, 348.83, 1.420, 99.90, 99.90
13.25, 349.82, 1.420, 99.90, 99.90
13.40, 350.81, 1.420, 99.90, 99.90
13.55, 351.79, 1.420, 99.90, 99.90
13.70, 352.78, 1.420, 99.90, 99.90
13.85, 353.77, 1.420, 99.90, 99.90
14.00, 354.76, 1.420, 99.90, 99.90
14.15, 355.74, 1.420, 99.90, 99.90
14.30, 356.73, 1.420, 99.90, 99.90
14.45, 357.72, 1.420, 99.90, 99.90
14.60, 358.71, 1.420, 99.90, 99.90
14.75, 359.70, 1.420, 99.90, 99.90
14.90, 360.68, 1.420, 99.90, 99.90
15.05, 361.67, 1.420, 99.90, 99.90
15.20, 362.66, 1.420, 99.90, 99.90
15.35, 363.65, 1.420, 99.90, 99.90
15.50, 364.63, 1.420, 99.90, 99.90
