# x, y, theta, v_l, v_r
50.02, 250.12, 1.322, 24.93, 0.00
50.14, 250.60, 1.322, 49.95, 49.95
50.14, 250.60, 0.323, 49.95, -49.95
50.61, 250.76, 0.323, 49.95, 49.95
50.61, 250.76, -0.677, 49.95, -49.95
50.61, 250.76, -1.676, 49.95, -49.95
50.56, 250.27, -1.676, 49.95, 49.95
50.56, 250.27, -2.675, 49.95, -49.95
50.11, 250.04, -2.675, 49.95, 49.95
50.11, 250.04, 2.610, 49.95, -49.95
49.68, 250.29, 2.610, 49.95, 49.95
49.68, 250.29, 1.611, 49.95, -49.95
49.66, 250.79, 1.611, 49.95, 49.95
49.64, 251.29, 1.611, 49.95, 49.95
49.62, 251.79, 1.611, 49.95, 49.95
49.62, 251.79, 0.612, 49.95, -49.95
49.62, 251.79, -0.387, 49.95, -49.95
50.09, 251.60, -0.387, 49.95, 49.95
50.09, 251.60, -1.386, 49.95, -49.95
50.09, 251.60, -2.386, 49.95, -49.95
50.09, 251.60, 2.899, 49.95, -49.95
49.60, 251.72, 2.899, 49.95, 49.95
49.12, 251.84, 2.899, 49.95, 49.95
48.63, 251.96, 2.899, 49.95, 49.95
48.15, 252.08, 2.899, 49.95, 49.95
47.66, 252.20, 2.899, 49.95, 49.95
47.18, 252.32, 2.899, 49.95, 49.95
47.18, 252.32, 1.900, 49.95, -49.95
47.02, 252.80, 1.900, 49.95, 49.95
47.02, 252.80, 0.901, 49.95, -49.95
47.33, 253.19, 0.901, 49.95, 49.95
47.64, 253.58, 0.901, 49.95, 49.95
47.64, 253.58, -0.098, 49.95, -49.95
48.13, 253.53, -0.098, 49.95, 49.95
48.13, 253.53, -1.097, 49.95, -49.95
48.36, 253.09, -1.097, 49.95, 49.95
48.59, 252.64, -1.097, 49.95, 49.95
48.59, 252.64, -2.096, 49.95, -49.95
48.34, 252.21, -2.096, 49.95, 49.95
48.34, 252.21, -3.095, 49.95, -49.95
48.34, 252.21, 2.189, 49.95, -49.95
48.05, 252.62, 2.189, 49.95, 49.95
48.05, 252.62, 1.190, 49.95, -49.95
48.05, 252.62, 0.191, 49.95, -49.95
48.54, 252.71, 0.191, 49.95, 49.95
48.54, 252.71, -0.808, 49.95, -49.95
48.54, 252.71, -1.807, 49.95, -49.95
48.42, 252.22, -1.807, 49.95, 49.95
48.42, 252.22, -2.806, 49.95, -49.95
47.95, 252.06, -2.806, 49.95, 49.95
47.95, 252.06, 2.478, 49.95, -49.95
47.95, 252.06, 1.479, 49.95, -49.95
48.00, 252.56, 1.479, 49.95, 49.95
48.04, 253.06, 1.479, 49.95, 49.95
48.09, 253.55, 1.479, 49.95, 49.95
48.09, 253.55, 0.480, 49.95, -49.95
48.09, 253.55, -0.519, 49.95, -49.95
48.52, 253.30, -0.519, 49.95, 49.95
48.96, 253.06, -0.519, 49.95, 49.95
48.96, 253.06, -1.518, 49.95, -49.95
48.98, 252.56, -1.518, 49.95, 49.95
48.98, 252.56, -2.517, 49.95, -49.95
48.98, 252.56, 2.767, 49.95, -49.95
48.52, 252.74, 2.767, 49.95, 49.95
48.05, 252.92, 2.767, 49.95, 49.95
48.05, 252.92, 1.768, 49.95, -49.95
47.95, 253.41, 1.768, 49.95, 49.95
47.95, 253.41, 0.769, 49.95, -49.95
47.95, 253.41, -0.230, 49.95, -49.95
47.95, 253.41, -1.229, 49.95, -49.95
48.12, 252.94, -1.229, 49.95, 49.95
48.29, 252.47, -1.229, 49.95, 49.95
48.29, 252.47, -2.228, 49.95, -49.95
47.98, 252.08, -2.228, 49.95, 49.95
47.68, 251.68, -2.228, 49.95, 49.95
47.68, 251.68, 3.056, 49.95, -49.95
47.18, 251.72, 3.056, 49.95, 49.95
46.68, 251.77, 3.056, 49.95, 49.95
46.68, 251.77, 2.057, 49.95, -49.95
46.45, 252.21, 2.057, 49.95, 49.95
46.22, 252.65, 2.057, 49.95, 49.95
45.98, 253.09, 2.057, 49.95, 49.95
45.75, 253.53, 2.057, 49.95, 49.95
45.52, 253.98, 2.057, 49.95, 49.95
45.28, 254.42, 2.057, 49.95, 49.95
45.28, 254.42, 1.058, 49.95, -49.95
45.28, 254.42, 0.059, 49.95, -49.95
45.78, 254.45, 0.059, 49.95, 49.95
46.28, 254.48, 0.059, 49.95, 49.95
46.78, 254.51, 0.059, 49.95, 49.95
47.28, 254.53, 0.059, 49.95, 49.95
47.28, 254.53, -0.940, 49.95, -49.95
47.57, 254.13, -0.940, 49.95, 49.95
47.57, 254.13, -1.939, 49.95, -49.95
47.57, 254.13, -2.938, 49.95, -49.95
47.08, 254.03, -2.938, 49.95, 49.95
46.59, 253.93, -2.938, 49.95, 49.95
46.59, 253.93, 2.346, 49.95, -49.95
46.59, 253.93, 1.347, 49.95, -49.95
46.59, 253.93, 0.348, 49.95, -49.95
47.06, 254.10, 0.348, 49.95, 49.95
47.06, 254.10, -0.651, 49.95, -49.95
47.06, 254.10, -1.650, 49.95, -49.95
47.06, 254.10, -2.649, 49.95, -49.95
47.06, 254.10, 2.635, 49.95, -49.95
46.63, 254.34, 2.635, 49.95, 49.95
46.19, 254.58, 2.635, 49.95, 49.95
45.75, 254.83, 2.635, 49.95, 49.95
45.32, 255.07, 2.635, 49.95, 49.95
45.32, 255.07, 1.636, 49.95, -49.95
45.32, 255.07, 0.637, 49.95, -49.95
45.72, 255.37, 0.637, 49.95, 49.95
46.12, 255.66, 0.637, 49.95, 49.95
